TransactionID,OrderDate,CustomerID,ProductID,RegionID,TeamID,Quantity,Revenue,Cost,Profit,TargetRevenue,ProcessingDays,Status,CompletionFlag,SatisfactionScore
T00001,2025-08-12,C063,P015,R19,T04,3,1612.95,1033.77,579.18,1897.45,3,Completed,Yes,4.0
T00002,2024-11-25,C087,P018,R18,T06,1,788.76,590.94,197.82,932.58,3,Completed,Yes,4.0
T00003,2024-01-03,C104,P023,R08,T05,4,2256.76,1713.29,543.47,2052.67,15,Delayed,Yes,1.0
T00004,2025-02-15,C193,P011,R02,T03,1,1358.14,902.17,455.97,1377.38,2,Completed,Yes,3.0
T00005,2025-08-06,C179,P023,R01,T04,8,3433.37,2282.38,1150.99,4115.68,15,Delayed,Yes,3.0
T00006,2024-09-15,C175,P026,R17,T06,5,1777.56,1350.17,427.39,1649.68,9,In Progress,No,
T00007,2024-03-07,C074,P003,R11,T02,8,8095.26,5689.23,2406.03,6774.36,2,Completed,Yes,5.0
T00008,2025-02-27,C125,P018,R18,T06,3,2692.58,1902.12,790.46,2635.85,3,Cancelled,No,
T00009,2025-03-18,C148,P020,R13,T07,3,578.43,457.05,121.38,475.02,1,Completed,Yes,
T00010,2025-05-06,C090,P014,R11,T07,4,985.43,643.79,341.64,977.85,4,In Progress,No,
T00011,2024-08-30,C031,P024,R16,T04,2,2030.86,1288.37,742.49,2305.12,40,Completed,Yes,5.0
T00012,2024-11-06,C089,P004,R13,T03,2,2600.93,2065.55,535.38,2748.0,8,Delayed,Yes,4.0
T00013,2025-11-16,C135,P003,R09,T01,4,3651.81,2419.58,1232.23,3731.34,20,Delayed,Yes,2.0
T00014,2024-01-08,C001,P010,R01,T06,1,1011.98,842.4,169.58,1024.83,3,Completed,Yes,5.0
T00015,2024-07-09,C048,P029,R05,T04,1,1270.89,967.49,303.4,1382.94,28,Delayed,Yes,3.0
T00016,2025-07-11,C185,P008,R01,T01,10,2365.42,1731.03,634.39,2573.82,15,Delayed,Yes,1.0
T00017,2024-01-22,C044,P027,R01,T02,5,5071.71,3539.14,1532.57,5605.77,4,In Progress,No,
T00018,2024-04-16,C174,P021,R04,T03,1,1488.36,1158.24,330.12,1104.47,12,Delayed,Yes,
T00019,2024-02-19,C030,P017,R06,T07,6,2833.22,2298.54,534.68,2856.41,2,Completed,Yes,4.0
T00020,2024-02-19,C062,P016,R10,T01,3,4852.96,3948.86,904.1,5020.67,8,Completed,Yes,5.0
T00021,2025-07-15,C135,P016,R11,T01,5,8611.83,7043.19,1568.64,7493.67,28,Delayed,Yes,4.0
T00022,2025-09-08,C155,P016,R14,T06,3,3889.72,2651.23,1238.49,4707.8,2,Completed,Yes,
T00023,2025-07-24,C032,P009,R06,T01,8,4004.1,2877.79,1126.31,4780.47,2,Completed,Yes,4.0
T00024,2024-11-12,C046,P009,R12,T01,10,5677.9,4394.6,1283.3,6402.98,7,Completed,Yes,4.0
T00025,2025-07-28,C121,P003,R10,T05,2,1572.31,1130.31,442.0,1687.83,8,Completed,Yes,4.0
T00026,2024-03-10,C071,P007,R09,T04,4,4878.67,3243.83,1634.84,4273.7,4,In Progress,No,
T00027,2025-10-21,C090,P022,R15,T03,6,10537.46,7383.68,3153.78,10619.55,5,Completed,Yes,4.0
T00028,2025-05-09,C019,P018,R16,T06,3,3062.1,2088.0,974.1,3062.54,4,In Progress,No,
T00029,2024-06-06,C164,P009,R14,T07,3,1868.5,1512.48,356.02,1733.62,2,Completed,Yes,
T00030,2025-08-08,C218,P021,R15,T03,6,6450.82,4167.24,2283.58,6711.54,2,Completed,Yes,
T00031,2024-08-27,C049,P020,R18,T05,10,1731.47,1280.91,450.56,1567.56,5,Completed,Yes,5.0
T00032,2024-12-21,C124,P027,R15,T05,2,1786.56,1211.13,575.43,2144.08,1,Completed,Yes,5.0
T00033,2025-05-28,C031,P032,R16,T03,6,5813.54,4023.29,1790.25,5906.03,4,In Progress,No,
T00034,2024-10-16,C131,P009,R05,T01,4,2378.51,1880.36,498.15,2422.54,7,Completed,Yes,5.0
T00035,2025-06-26,C050,P021,R01,T04,5,5547.16,4596.78,950.38,5602.01,6,Completed,Yes,4.0
T00036,2025-10-08,C136,P010,R05,T04,5,4065.29,3026.11,1039.18,5193.1,3,Completed,Yes,4.0
T00037,2025-05-20,C158,P019,R19,T02,4,6499.43,4718.76,1780.67,7898.89,3,Completed,Yes,4.0
T00038,2024-09-07,C019,P025,R03,T02,4,5901.18,4182.38,1718.8,6875.31,5,In Progress,No,
T00039,2025-11-17,C167,P011,R11,T03,8,10093.94,6875.2,3218.74,11095.31,6,Completed,Yes,3.0
